channel,idx,mrs,magnitude,angle,date
28.0,-0.00021166547555054706,-0.0004004586113679044,0.00045295625943213275,-117.85903508988282,2022-02-28
29.0,-0.0001577083857908765,-0.00030747840225653773,0.00034556461451224597,-117.15368783608623,2022-02-28
30.0,-0.0001435836697546545,-0.00027728368671206755,0.0003122539241336283,-117.3761274762645,2022-02-28
31.0,-0.00012401936676518146,-0.00030353009139617355,0.0003278891881654625,-112.22443496264621,2022-02-28
32.0,-0.0003905673675152806,0.0005693131746333419,0.0006904059381109858,124.45139054633486,2022-02-28
33.0,-0.00011652457983743738,-0.00010739083138949246,0.000158463776216578,-137.3358609762853,2022-02-28
34.0,0.0010242538147950185,2.4134639037026562e-05,0.00102453811931211,1.3498188628209518,2022-02-28
35.0,-0.00015239526778867242,-0.00013479292280752265,0.00020345380233206735,-138.50738650636058,2022-02-28
36.0,0.0002856338681363329,-5.975743469203424e-07,0.0002856344932280135,-0.11986827155610347,2022-02-28
37.0,-6.240088878925331e-05,-0.0003807715759623882,0.0003858508312581036,-99.30690965678463,2022-02-28
38.0,0.0002340275027242218,4.4167768203172514e-05,0.00023815890447217132,10.687663137273196,2022-02-28
39.0,-0.000139147611014295,-0.00023770461254657134,0.00027543699910669435,-120.34386780040585,2022-02-28
40.0,-0.0002494021559191124,-0.0001927146455634614,0.00031518307377102566,-142.3065078390475,2022-02-28
41.0,7.432818251164223e-05,0.00011132443952529034,0.00013385742247295823,56.270083320474306,2022-02-28
42.0,0.00042692950233720037,2.7361699863602345e-05,0.0004278054027070198,3.667042803778956,2022-02-28
43.0,-1.9039805204894306e-05,-0.00011484839557350103,0.00011641592738129818,-99.41300153692964,2022-02-28
44.0,0.00010199834779064444,0.0001341656256553692,0.0001685350944448008,52.756376870220215,2022-02-28
45.0,-0.00016710484989882916,-8.37232901974425e-05,0.0001869053776144373,-153.38809989914694,2022-02-28
46.0,-0.00015563553188955852,-8.649059223408566e-05,0.0001780534788526994,-150.937967509021,2022-02-28
47.0,6.893803028845959e-05,3.3980107952465363e-05,7.685765906215054e-05,26.239057450735917,2022-02-28
48.0,5.643466005688186e-05,-0.00010533077372775401,0.00011949662233646243,-61.81825699662958,2022-02-28
49.0,-2.611215666170905e-05,0.0003071322918494703,0.000308240311157113,94.85955786751877,2022-02-28
50.0,-0.00018376725069303696,-0.00041483123194454983,0.0004537128534920632,-113.8929979434595,2022-02-28
51.0,-0.0001932735404116778,-0.0001454404103241303,0.00024188339004263158,-143.03814704858758,2022-02-28
52.0,0.000710553432435026,0.00018078053211742203,0.000733190139825854,14.274460621158486,2022-02-28
53.0,-0.00017989138717231884,-8.402644013713195e-05,0.00019854811462439057,-154.96293798684047,2022-02-28
54.0,1.0471941772017518e-05,9.533762427011982e-05,9.591102212961274e-05,83.73172547415768,2022-02-28
